SEASON,TEAM_ABBREVIATION,TEAM_ID,OVERLAP,PRIOR_QUALITY,TEAM_FGA,TEAM_PTS_FG,TEAM_XPTS,N_CORE,FGA,FTA,TOV,ORB,FGM,FTM,POSS,ORTG_FG,PTS_PER_FGA,PTS_VS_XPTS
2021,SAS,,0.9035869892859592,1.0513992656688051,7383,7810,7850.430029496074,8,7501,1650,1061,1181,3511,1252,8107.0,96.33649932157394,1.0578355681972098,-0.0054760977239704705
2021,TOR,,0.9159144073615831,1.0576344622737117,7188,7396,7656.665636804002,8,7379,1730,990,1352,3287,1312,7778.2,95.08626674551954,1.0289371174179187,-0.03626400066833641
2021,UTA,,0.8579769150911505,1.0971491860845475,6794,7615,7448.492500692726,8,6981,1890,1059,1125,3284,1453,7746.6,98.30119019957142,1.1208419193405947,0.024508021681965555
2021,WAS,,0.909324076610004,1.070206815925949,6816,7293,7217.270502103387,8,6938,1786,1071,923,3289,1406,7871.84,92.64670013618162,1.0699823943661972,0.01111054840032466
2022,ATL,,0.8740063455954366,1.1063427615494708,7345,7999,8099.030205214959,8,7455,1857,1082,1139,3604,1514,8215.08,97.36971520666872,1.0890401633764466,-0.013618816230763662
2022,BKN,,0.8605051549819392,1.172785781982939,6698,7569,7538.651105431312,8,6864,1819,1104,838,3346,1440,7930.36,95.44333422442361,1.1300388175574798,0.004531038305268391
2022,BOS,,0.9541935526851052,1.0788631636248025,6999,7992,7651.392476841811,8,7164,1773,1080,967,3418,1425,8057.12,99.19177075679647,1.1418774110587226,0.04866516976113573
2022,CHA,,0.9101757699567484,1.0878338119133721,7165,7430,7830.4051461267245,8,7297,1894,1120,1128,3337,1425,8122.36,91.47587646940052,1.0369853454291695,-0.05588348166458123
2022,CHI,,0.9032485235897856,1.0834920222061095,6860,7607,7658.865632637364,8,6989,1725,1091,870,3427,1396,7969.0,95.45739741498306,1.1088921282798834,-0.007560587848012229
2022,CLE,,0.8812900083479562,1.1049874814463156,6649,7452,7520.149721344738,8,6885,1796,1195,978,3373,1403,7892.24,94.42186248770945,1.1207700406076102,-0.010249619693899576
2022,DAL,,0.9376061662423393,1.0655919363864503,6663,7543,7449.493100646539,8,6802,2031,1006,848,3238,1545,7853.64,96.04463662709266,1.1320726399519736,0.014033753467426302
2022,DEN,,0.9220203531645018,1.0860138278837659,6820,7872,7694.793266022451,8,6990,1802,1155,1037,3522,1365,7900.88,99.63447109689048,1.1542521994134898,0.025983392078819566
2022,DET,,0.8977614641300072,1.0088144127588683,6897,7221,7237.307798312696,8,7030,2148,1193,1158,3209,1666,8010.12,90.14846219532292,1.0469769464984775,-0.0023644770643317273
2022,GSW,,0.8978878284338961,1.087219816064539,7146,8215,7887.579918391835,8,7288,1663,1327,1076,3492,1318,8270.72,99.32629807320282,1.149594178561433,0.04581865121860688
2022,HOU,,0.9179876839574592,1.0653925822744277,7016,7267,7448.018676692858,8,7168,2057,1290,1381,3278,1560,7982.08,91.04143280949326,1.035775370581528,-0.025800837613007156
2022,IND,,0.9405974315687283,1.0722306619570237,7096,7771,7939.992357233617,8,7221,1901,1203,1119,3385,1518,8141.4400000000005,95.44994497287948,1.0951240135287486,-0.023815157445549243
2022,LAC,,0.8803246104975487,1.0621939258307036,6767,7528,7390.572036037291,8,6955,1932,1092,1006,3330,1506,7891.08,95.39885541649559,1.1124575144081572,0.02030855090331156
2022,LAL,,0.9260062149870548,1.0647863148519348,7068,7712,7704.022674852107,8,7192,2128,1157,1037,3480,1641,8248.32,93.49782743637492,1.091114883984154,0.0011286538126616824
2022,MEM,,0.9300013096721923,1.034669165914564,7303,7960,8211.894852003163,8,7450,1900,1087,1226,3540,1409,8147.0,97.70467656806187,1.0899630288922362,-0.03449196932810662
2022,MIA,,0.8312859680859684,1.1115462770813127,6689,7151,7227.733337616933,8,6884,1889,1130,1024,3176,1550,7821.16,91.4314500662306,1.0690686201225894,-0.011471570880091592
2022,MIL,,0.8955765666459967,1.124391099975254,7169,8012,8066.472699371274,8,7305,1824,1119,1135,3463,1358,8091.56,99.0167532589513,1.1175896219835402,-0.007598367885517345
2022,MIN,,0.9109926195617604,1.1073579470218902,6931,7827,7698.774384265609,8,7068,1903,1231,967,3466,1462,8169.32,95.80968795444419,1.129274274996393,0.018500305256729316
2022,NOP,,0.8752532608144662,1.05962943464958,6946,7611,7585.313306462225,8,7065,1986,1119,1091,3398,1565,7966.84,95.53348630071646,1.0957385545637777,0.003698055505006446
2022,NYK,,0.8843581677121325,1.056568715091482,7039,7648,7828.428936296036,8,7227,2053,1052,1252,3401,1562,7930.32,96.43999233322236,1.086517971302742,-0.025632751285130876
2022,OKC,,0.9043468431771885,0.9818406466061398,7360,7879,7946.016722448918,8,7465,1968,1219,1183,3485,1593,8366.92,94.16846342501182,1.070516304347826,-0.009105532941429047
2022,ORL,,0.9500457541645726,1.0264626225745626,6850,7335,7280.609337365786,8,6960,2001,1193,1068,3273,1568,7965.4400000000005,92.08530853286196,1.070802919708029,0.007940242720323225
2022,PHI,,0.9070200632222953,1.0634692518557873,6554,7453,7230.022862687507,8,6775,1986,1023,904,3302,1646,7767.84,95.94687841150179,1.1371681415929205,0.03402153453043838
2022,PHX,,0.8966597803990607,1.1076474742684306,7109,7645,7701.671518252093,8,7289,1839,1125,1213,3414,1461,8010.16,95.44128956225593,1.0753973835982558,-0.00797179888199366
2022,POR,,0.9214694000744934,1.0611992931415415,6747,7461,7498.627096239507,8,6917,1991,1143,980,3276,1587,7956.04,93.77780906078904,1.1058248110271232,-0.005576863233956931
2022,SAC,,0.895214806802407,1.0998679374297318,7026,8080,7776.60824035764,8,7112,2034,1128,1003,3521,1602,8131.96,99.36103965095747,1.1500142328494165,0.04318129229182463
2022,SAS,,0.9499511621305873,1.0718795615567998,7365,7791,7919.089315058188,8,7476,1721,1242,1237,3482,1272,8238.24,94.57117054128067,1.0578411405295316,-0.017391624583596447
2022,TOR,,0.9303242082352601,1.0403034450423085,7210,7505,7926.60290847672,8,7374,1912,927,1306,3384,1509,7836.28,95.7724838826586,1.0409153952843273,-0.05847474458761715
2022,UTA,,0.8937238829306069,1.0363205800941822,7137,7864,7653.062515279539,8,7263,1955,1205,1217,3442,1518,8111.2,96.95236216589407,1.1018635280930362,0.029555483357217433
2022,WAS,,0.9117279166451338,1.0023488107359793,6848,7626,7297.972256766528,8,7018,1836,1072,1007,3411,1443,7890.84,96.64370333196466,1.113609813084112,0.04790124755161688
2023,ATL,,0.8858610048104562,1.0896861299799976,7354,8003,8161.067256048174,8,7443,1913,1148,1253,3473,1531,8179.72,97.83953484960365,1.0882512918139788,-0.021494051679109925
2023,BKN,,0.9045828602665018,1.0866793101703578,7011,7497,7729.506666710896,8,7201,1662,1019,1156,3289,1250,7795.28,96.17358196241828,1.0693196405648266,-0.033163124620010816
2023,BOS,,0.9443773757504743,1.1334163358067497,7125,8313,7968.427849217699,8,7284,1638,904,1079,3556,1316,7829.72,106.1723790889074,1.166736842105263,0.04836100361856855
2023,CHA,,0.9251768593862341,1.0677974026275756,6848,7286,7372.277324286775,8,7018,1557,1126,966,3237,1223,7863.08,92.66089115206763,1.0639602803738317,-0.01259890833626974
2023,CHI,,0.8653098966135155,1.1143828293984144,7042,7567,7779.374194086043,8,7209,1732,1032,1128,3382,1356,7875.08,96.08791275771166,1.0745526838966202,-0.030158221256183292
2023,CLE,,0.8662266543088669,1.145477704633415,6866,7697,7889.336525501356,8,7049,1634,1103,1024,3388,1248,7846.96,98.0889414499373,1.1210311680745704,-0.028012893315082426
2023,DAL,,0.913352371489127,1.1202451051089715,7118,8058,8080.356211762362,8,7239,1776,1088,1012,3483,1349,8096.4400000000005,99.52522343153286,1.1320595672941838,-0.0031407996294411863
2023,DEN,,0.9166698354863596,1.169248940034297,6930,7824,7836.087976164916,8,7171,1626,948,1088,3555,1254,7746.4400000000005,101.00123411528392,1.129004329004329,-0.0017442967048940468
2023,DET,,0.8962947853250506,1.0380313403426014,6971,7391,7367.5367054863245,8,7128,1797,1176,1080,3306,1420,8014.68,92.21827945719603,1.0602496055085353,0.003365843424713164
2023,GSW,,0.9267067648067691,1.1477207678624928,7206,8075,7953.9175471027,8,7381,1676,1170,1239,3526,1305,8049.4400000000005,100.31753761752368,1.120593949486539,0.016803004842811525
2023,HOU,,0.9161468137444873,0.9996803069067701,7216,7687,7695.725472350471,8,7346,1883,1047,1193,3381,1470,8028.52,95.74616492205288,1.065271618625277,-0.0012091840840453348
2023,IND,,0.9247081135336943,1.1079200595261156,7368,8568,8279.544498489964,8,7483,1669,1038,1083,3809,1309,8172.36,104.84119642306507,1.1628664495114007,0.03914976947747501
2023,LAC,,0.9019304601168402,1.104754462548873,6804,7691,7526.052391854165,8,6985,1805,1019,1005,3419,1487,7793.2,98.68860031822615,1.1303644914756026,0.02424274076217448
2023,LAL,,0.9157669987766978,1.1426748925993389,6889,7836,7702.130292580632,8,7083,1879,1131,893,3530,1459,8147.76,96.17367227311556,1.1374655247496008,0.019432386038520516
2023,MEM,,0.9531210822287995,1.0961660685635146,6954,7126,7654.822918397267,8,7123,1703,1227,1163,3095,1307,7936.32,89.78972622071691,1.0247339660626977,-0.07604586114427195
2023,MIA,,0.8868151167548747,1.0590472451551507,6699,7306,7171.825777077525,8,6912,1788,1025,939,3216,1466,7784.72,93.85051742387651,1.090610538886401,0.02002899282317878
2023,MIL,,0.8633239198193388,1.1212275645771688,6960,7950,7862.97144002334,8,7138,1936,998,963,3484,1506,8024.84,99.06739573623898,1.1422413793103448,0.012504103444922456
2023,MIN,,0.8810433664246373,1.143968411225867,6701,7545,7467.027658298161,8,6871,1821,1118,992,3340,1414,7798.24,96.75260058679908,1.1259513505446948,0.011635926235164686
2023,NOP,,0.824254249367185,1.117021685372819,6908,7778,7596.956288006529,8,7053,1832,1002,1026,3445,1431,7835.08,99.27148159304053,1.125940938042849,0.02620783323588178
2023,NYK,,0.8923330961948224,1.0925689076630098,6949,7547,7785.3526902017,8,7149,1755,1077,1276,3342,1361,7722.2,97.73121649270934,1.0860555475608,-0.03430028640116566
2023,OKC,,0.9190675260669571,1.0807911503975065,7070,8130,7825.4362239106795,8,7215,1756,1097,895,3601,1436,8189.64,99.27176286137119,1.14992927864215,0.0430783275939633
2023,ORL,,0.9203026494835342,1.050295318917222,6655,7261,7168.490543587275,8,6862,1989,1185,1107,3266,1519,7815.16,92.90916628706259,1.0910593538692712,0.013900744765247908
2023,PHI,,0.9187715233346285,1.1279461108577524,7016,7518,7757.417851303903,8,7211,1876,951,1145,3359,1550,7842.4400000000005,95.86302222267558,1.0715507411630558,-0.03412455121207287
2023,PHX,,0.8590156085764056,1.150399398999936,6757,7678,7547.661691708175,8,6954,1898,1167,1031,3442,1520,7925.12,96.88181377695227,1.1363030930886489,0.019289375209682602
2023,POR,,0.9154146448886842,1.0871585657893843,7063,7154,7489.249252757056,8,7227,1719,1245,1309,3183,1361,7919.36,90.33558267334735,1.0128840436075321,-0.04746556035070872
2023,SAC,,0.9083912537564193,1.1536951434325557,7152,8019,7782.423150488434,8,7327,1713,1054,1115,3493,1293,8019.72,99.99102213044844,1.121224832214765,0.03307841855586777
2023,SAS,,0.9533728663002974,1.0403842485984445,7185,7709,7965.975830973109,8,7339,1605,1259,1073,3397,1243,8231.2,93.65584604917872,1.072929714683368,-0.03576559930036308
